CUST ACCT #,CUSTOMER NAME,OPPORTUNITY NAME,ESTIMATED_MONTHLY_SALES,ESTIMATED_MONTHLY_GP,ESTIMATED_MONTHLY_GP_PERCENT,YTD_SALES,YTD_GP,YTD_GP_PERCENT
"TH3600","RANDY'S AUTO SERVICE","5mile",2000,700,35%,2103.130000,799.360000,38.01%
"TH3204","PARIS TIRE AND SERVICE INC.","5mile",2000,700,35%,8237.940000,3084.790000,37.45%
"WE1148","ANDYS AUTOMOTIVE","5mile",2000,700,35%,410.150000,153.660000,37.46%
"TH1576","PREMIER AUTOMOTIVE REPAIR","5mile",2000,700,35%,3517.810000,1355.380000,38.53%
"TH1021","AMERICAN AUTO AND TRUCK","5mile",2000,700,35%,521.670000,172.670000,33.10%
"TH2752","LAUCK MOTORS INC","5mile",2000,0,0,2494.380000,890.820000,35.71%
"TH1195","BRAKES PLUS #106","5mile",2000,700,35%,5389.420000,1869.590000,34.69%
"WE2990","MOUNTAIN VIEW GARAGE","5mile",2000,700,35%,0.000000,0.000000,
"WE1115","AUTOMOTIVE TECH CENTER","5mile",2000,700,35%,1002.670000,366.220000,36.52%
"TH1137","CANADY'S TIRE CORP","5mile",2000,700,35%,2683.230000,947.900000,35.33%
"WE1230","ECONO LUBE N TUNE","5mile",2000,700,35%,298.120000,109.740000,36.81%
"TH1659","FIRESTONE #012173 THORTON","5mile",2000,700,35%,3404.500000,1110.780000,32.63%
"TH1029","ALTERNATIVE AUTO CARE","5mile",2000,700,35%,272.620000,103.850000,38.09%
"TH1154","BRAKES PLUS #109","5mile",2000,700,35%,1119.270000,474.040000,42.35%
"WE3852","TIRES PLUS #256793 NORTHGLENN","5mile",2000,700,35%,25.210000,6.770000,26.85%
"TH3851","TIRES PLUS #265854 THORNTON","5mile",2000,700,35%,0.000000,0.000000,
"WE3859","TIRES PLUS #246651 WESTMINSTER","5mile",2000,700,35%,0.000000,0.000000,
"TH1760","FIFTH GEAR","5mile",2000,700,35%,4019.170000,1354.590000,33.70%
"DV3845","TH AUTOMOTIVE","BRAKES A4NCO4G",300,105,35%,0.000000,0.000000,
"TH1021","AMERICAN AUTO AND TRUCK","BRAKES A4NCO4G",300,105,35%,0.000000,0.000000,
"WE1115","AUTOMOTIVE TECH CENTER","BRAKES A4NCO4G",300,105,35%,0.000000,0.000000,
"WE1624","ROCKY MOUNTAIN TIRE & AUTO","BRAKES A4NCO4G",300,105,35%,102.120000,45.510000,44.57%
"TH1157","BRIGHTON RADIATOR","BRAKES A4NCO4G",300,105,35%,0.000000,0.000000,
"TH3208","PEERLESS TYRE CO","BRAKES A4NCO4G",300,105,35%,0.000000,0.000000,
"TH1454","DOC AUTOMOTIVE","BRAKES A4NCO4G",300,105,35%,716.890000,331.740000,46.27%
"TH1009","AAMCO - BROOMFIELD","BRAKES A4NCO4G",300,105,35%,137.700000,66.730000,48.46%
"TH1010","AAMCO NORTHGLENN","BRAKES A4NCO4G",300,105,35%,0.000000,0.000000,
"TH1340","DIESEL DAY DREAMS LLC","Rotating Electric",175,56,32%,0.000000,0.000000,
"DV2492","JUST BRAKES-NORTHGLENN #59","Rotating Electric",250,80,32%,0.000000,0.000000,
"TH2293","JPD AUTO","Rotating Electric",450,144,32%,1118.020000,388.270000,34.73%
"DV2908","MILLER'S GARAGE","Rotating Electric",135,43.2,32%,0.000000,0.000000,
"TH3600","RANDY'S AUTO SERVICE","Rotating Electric",250,80,32%,0.000000,0.000000,
"TH1150","BROOMFIELD AUTO SERVICE CENTER","Rotating Electric",900,288,32%,2746.300000,991.760000,36.11%
"TH3204","PARIS TIRE AND SERVICE INC.","Rotating Electric",450,144,32%,119.000000,27.210000,22.87%
"WE1148","ANDYS AUTOMOTIVE","Rotating Electric",350,112,32%,0.000000,0.000000,
"TH1576","PREMIER AUTOMOTIVE REPAIR","Rotating Electric",250,80,32%,0.000000,0.000000,
"TH2110","AUBRY'S AUTOMOTIVE","Rotating Electric",125,40,32%,0.000000,0.000000,
"FT2112","JIMINEZ AUTO SERVICE INC","Rotating Electric",125,40,32%,0.000000,0.000000,
"TH2315","HAYES AUTOMOTIVE, INC","Rotating Electric",400,128,32%,374.180000,135.050000,36.09%
"WE1358","DAN'S ALIGNMENT BRAKE","Rotating Electric",350,112,32%,132.440000,49.140000,37.10%
"WE1395","CONILOGUE QUALITY CAR &","Rotating Electric",225,72,32%,0.000000,0.000000,
"TH2752","LAUCK MOTORS INC","Rotating Electric",325,104,32%,125.030000,42.110000,33.68%
"TH3694","ROADMASTER AUTO AND TIRE","Rotating Electric",250,80,32%,-63.670000,-21.170000,33.25%
"WE1115","AUTOMOTIVE TECH CENTER","Rotating Electric",125,40,32%,0.000000,0.000000,
