CUST ACCT #,CUSTOMER NAME,SALES REP ID,SALES REP LAST NAME,USER LOGIN,OPPORTUNITY NAME,ESTIMATED_ANNUALIZED_SALES,ESTIMATED_ANNUALIZED_GP,ESTIMATED_ANNUALIZED_GP_PERCENT,ESTIMATED_MONTHLY_SALES,ESTIMATED_MONTHLY_GP,ESTIMATED_MONTHLY_GP_PERCENT,PREV12MO_SALES,PREV12MO_GP,PREV12MO_GP_PERCENT,MTD_SALES,MTD_GP,MTD_GP_PERCENT
"CS1207","BIG O TIRES HARTSEL DR.","169","JONES RICHARD","rjones","5Mile",180,66.6,37%,15,5.55,37%,872.000000,360.000000,41.28%,-424.890000,-106.930000,25.17%
"CS1201","BRAKES PLUS #121","169","JONES RICHARD","rjones","5mile",30000,10500,35%,2500,875,35%,266.000000,83.000000,31.50%,-90.410000,-48.600000,53.76%
"CS1160","BEST WEST TIRE & SERVICE","169","JONES RICHARD","rjones","5mile",18000,0,0,1500,0,0,1224.000000,361.000000,29.51%,114.060000,44.260000,38.80%
"CS1165","BIG O TIRES","169","JONES RICHARD","rjones","5mile",21000,7770,37%,1750,647.5,37%,508.000000,231.000000,45.45%,393.620000,132.340000,33.62%
"CS1164","BIERI AUTOMOTIVE","169","JONES RICHARD","rjones","5mile",14400,5040,35%,1200,420,35%,400.000000,111.000000,27.87%,19.940000,12.890000,64.64%
"TH3600","RANDY'S AUTO SERVICE","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,487.000000,161.000000,33.22%,119.040000,30.020000,25.22%
"TH3204","PARIS TIRE AND SERVICE INC.","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,578.000000,163.000000,28.30%,2794.350000,1156.230000,41.38%
"WE1148","ANDYS AUTOMOTIVE","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,25.000000,9.000000,38.49%,119.710000,49.720000,41.53%
"TH1576","PREMIER AUTOMOTIVE REPAIR","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,314.000000,104.000000,33.32%,449.250000,198.110000,44.10%
"TH1021","AMERICAN AUTO AND TRUCK","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,90.000000,16.000000,17.88%,153.470000,47.510000,30.96%
"TH2752","LAUCK MOTORS INC","174","KIRBY JASON","jkirby","5mile",24000,0,0,2000,0,0,730.000000,222.000000,30.40%,407.050000,204.460000,50.23%
"TH1195","BRAKES PLUS #106","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,461.000000,153.000000,33.32%,1271.490000,383.480000,30.16%
"WE2990","MOUNTAIN VIEW GARAGE","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,0.000000,0.000000,,0.000000,0.000000,
"WE1115","AUTOMOTIVE TECH CENTER","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,192.000000,61.000000,31.94%,39.780000,15.630000,39.29%
"TH1137","CANADY'S TIRE CORP","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,322.000000,83.000000,25.81%,829.900000,293.650000,35.38%
"WE1230","ECONO LUBE N TUNE","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,17.000000,0.000000,-5.01%,88.060000,58.280000,66.18%
"TH1659","FIRESTONE #012173 THORTON","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,233.000000,77.000000,33.39%,1547.840000,465.520000,30.08%
"TH1029","ALTERNATIVE AUTO CARE","174","KIRBY JASON","jkirby","5mile",24000,8400,35%,2000,700,35%,74.000000,-1.000000,-2.00%,123.640000,44.160000,35.72%
